period,staff_id,role,class_id,monthly_fully_loaded_cost
2025-01,P001,TEACHER,T01,12000
2025-01,P002,TEACHER,T02,12000
2025-01,P003,TEACHER,T03,12000
2025-01,P004,TEACHER,T04,12000
2025-01,P005,ASSISTANT,T01,7000
2025-01,P006,ASSISTANT,T03,7000
2025-01,P007,ASSISTANT,T05,7000
2025-01,P008,COORDINATOR,SHARED,14000
2025-01,P009,ADMIN,SHARED,10000
2025-02,P001,TEACHER,T01,12000
2025-02,P002,TEACHER,T02,12000
2025-02,P003,TEACHER,T03,12000
2025-02,P004,TEACHER,T04,12000
2025-02,P005,ASSISTANT,T01,7000
2025-02,P006,ASSISTANT,T03,7000
2025-02,P007,ASSISTANT,T05,7000
2025-02,P008,COORDINATOR,SHARED,14000
2025-02,P009,ADMIN,SHARED,10000
2025-03,P001,TEACHER,T01,12000
2025-03,P002,TEACHER,T02,12000
2025-03,P003,TEACHER,T03,12000
2025-03,P004,TEACHER,T04,12000
2025-03,P005,ASSISTANT,T01,7000
2025-03,P006,ASSISTANT,T03,7000
2025-03,P007,ASSISTANT,T05,7000
2025-03,P008,COORDINATOR,SHARED,14000
2025-03,P009,ADMIN,SHARED,10000
2025-04,P001,TEACHER,T01,12000
2025-04,P002,TEACHER,T02,12000
2025-04,P003,TEACHER,T03,12000
2025-04,P004,TEACHER,T04,12000
2025-04,P005,ASSISTANT,T01,7000
2025-04,P006,ASSISTANT,T03,7000
2025-04,P007,ASSISTANT,T05,7000
2025-04,P008,COORDINATOR,SHARED,14000
2025-04,P009,ADMIN,SHARED,10000
2025-05,P001,TEACHER,T01,12000
2025-05,P002,TEACHER,T02,12000
2025-05,P003,TEACHER,T03,12000
2025-05,P004,TEACHER,T04,12000
2025-05,P005,ASSISTANT,T01,7000
2025-05,P006,ASSISTANT,T03,7000
2025-05,P007,ASSISTANT,T05,7000
2025-05,P008,COORDINATOR,SHARED,14000
2025-05,P009,ADMIN,SHARED,10000
2025-06,P001,TEACHER,T01,12000
2025-06,P002,TEACHER,T02,12000
2025-06,P003,TEACHER,T03,12000
