period,class_id,enrolled_students,new_enrollments,withdrawals
2025-01,T01,16,16,0
2025-01,T02,15,15,0
2025-01,T03,16,16,0
2025-01,T04,16,16,0
2025-01,T05,15,15,0
2025-02,T01,16,0,0
2025-02,T02,16,1,0
2025-02,T03,16,0,0
2025-02,T04,16,0,0
2025-02,T05,16,1,0
2025-03,T01,17,1,0
2025-03,T02,16,0,0
2025-03,T03,16,0,0
2025-03,T04,17,1,0
2025-03,T05,16,0,0
2025-04,T01,17,0,0
2025-04,T02,16,0,0
2025-04,T03,17,1,0
2025-04,T04,17,0,0
2025-04,T05,16,0,0
2025-05,T01,17,0,0
2025-05,T02,17,1,0
2025-05,T03,17,0,0
2025-05,T04,17,0,0
2025-05,T05,16,0,0
2025-06,T01,17,0,0
2025-06,T02,17,0,0
2025-06,T03,17,0,0
2025-06,T04,17,0,0
2025-06,T05,17,1,0
2025-07,T01,18,1,0
2025-07,T02,17,0,0
2025-07,T03,17,0,0
2025-07,T04,17,0,0
2025-07,T05,17,0,0
2026-01,T01,18,0,0
2026-01,T02,17,0,0
2026-01,T03,18,1,0
2026-01,T04,17,0,0
2026-01,T05,18,1,0
2026-02,T01,18,0,0
2026-02,T02,18,1,0
2026-02,T03,18,0,0
2026-02,T04,17,0,0
2026-02,T05,18,0,0
2026-03,T01,18,0,0
2026-03,T02,17,0,1
2026-03,T03,17,0,1
2026-03,T04,17,0,0
2026-03,T05,17,0,1
2026-03,T06,5,5,0
2026-04,T01,18,0,0
2026-04,T02,17,0,0
2026-04,T03,17,0,0
2026-04,T04,17,0,0
2026-04,T05,16,0,1
2026-04,T06,7,2,0
2026-05,T01,18,0,0
2026-05,T02,17,0,0
2026-05,T03,17,0,0
2026-05,T04,17,0,0
2026-05,T05,16,0,0
2026-05,T06,8,1,0
2026-06,T01,18,0,0
2026-06,T02,18,1,0
2026-06,T03,17,0,0
2026-06,T04,17,0,0
2026-06,T05,16,0,0
2026-06,T06,9,1,0
2026-07,T01,18,0,0
2026-07,T02,18,0,0
2026-07,T03,17,0,0
2026-07,T04,17,0,0
2026-07,T05,16,0,0
2026-07,T06,10,1,0
