period,billed_amount,cash_received,open_receivables,write_offs
2025-01,186375,175938,9318.75,1118.25
2025-02,190400,179737.6,9520,1142.4
2025-03,194600,183702.4,9730,1167.6000000000001
2025-04,196485,185481.84,9824.25,1178.91
2025-05,198150,187053.6,9907.5,1188.9
2025-06,199800,188611.2,9990,1198.8
2025-07,201650,190357.6,10082.5,1209.9
2026-01,262548,242069.25600000002,18378.36,2100.384
2026-02,213548,196891.25600000002,14948.36,1708.384
2026-03,215800.5,198968.061,15106.035000000002,1726.404
2026-04,215668,198845.89599999998,15096.760000000002,1725.344
2026-05,216714.75,199810.9995,15170.032500000001,1733.718
2026-06,219987.5,202828.475,15399.125000000002,1759.9
2026-07,219696,202559.712,15378.720000000001,1757.568
