period,class_id,class_label,shift,capacity,enrolled_students,occupancy_rate
2025-01,T01,Grupo 1 manhã,MANHA,20,16,0.8
2025-01,T02,Grupo 2 manhã,MANHA,20,15,0.75
2025-01,T03,Grupo 3 manhã,MANHA,20,16,0.8
2025-01,T04,Grupo 4 tarde,TARDE,20,16,0.8
2025-01,T05,Grupo 5 tarde,TARDE,20,15,0.75
2025-02,T01,Grupo 1 manhã,MANHA,20,16,0.8
2025-02,T02,Grupo 2 manhã,MANHA,20,16,0.8
2025-02,T03,Grupo 3 manhã,MANHA,20,16,0.8
2025-02,T04,Grupo 4 tarde,TARDE,20,16,0.8
2025-02,T05,Grupo 5 tarde,TARDE,20,16,0.8
2025-03,T01,Grupo 1 manhã,MANHA,20,17,0.85
2025-03,T02,Grupo 2 manhã,MANHA,20,16,0.8
2025-03,T03,Grupo 3 manhã,MANHA,20,16,0.8
2025-03,T04,Grupo 4 tarde,TARDE,20,17,0.85
2025-03,T05,Grupo 5 tarde,TARDE,20,16,0.8
2025-04,T01,Grupo 1 manhã,MANHA,20,17,0.85
2025-04,T02,Grupo 2 manhã,MANHA,20,16,0.8
2025-04,T03,Grupo 3 manhã,MANHA,20,17,0.85
2025-04,T04,Grupo 4 tarde,TARDE,20,17,0.85
2025-04,T05,Grupo 5 tarde,TARDE,20,16,0.8
2025-05,T01,Grupo 1 manhã,MANHA,20,17,0.85
2025-05,T02,Grupo 2 manhã,MANHA,20,17,0.85
2025-05,T03,Grupo 3 manhã,MANHA,20,17,0.85
2025-05,T04,Grupo 4 tarde,TARDE,20,17,0.85
2025-05,T05,Grupo 5 tarde,TARDE,20,16,0.8
2025-06,T01,Grupo 1 manhã,MANHA,20,17,0.85
2025-06,T02,Grupo 2 manhã,MANHA,20,17,0.85
2025-06,T03,Grupo 3 manhã,MANHA,20,17,0.85
2025-06,T04,Grupo 4 tarde,TARDE,20,17,0.85
2025-06,T05,Grupo 5 tarde,TARDE,20,17,0.85
2025-07,T01,Grupo 1 manhã,MANHA,20,18,0.9
2025-07,T02,Grupo 2 manhã,MANHA,20,17,0.85
2025-07,T03,Grupo 3 manhã,MANHA,20,17,0.85
2025-07,T04,Grupo 4 tarde,TARDE,20,17,0.85
2025-07,T05,Grupo 5 tarde,TARDE,20,17,0.85
2026-01,T01,Grupo 1 manhã,MANHA,20,18,0.9
2026-01,T02,Grupo 2 manhã,MANHA,20,17,0.85
2026-01,T03,Grupo 3 manhã,MANHA,20,18,0.9
2026-01,T04,Grupo 4 tarde,TARDE,20,17,0.85
2026-01,T05,Grupo 5 tarde,TARDE,20,18,0.9
2026-02,T01,Grupo 1 manhã,MANHA,20,18,0.9
2026-02,T02,Grupo 2 manhã,MANHA,20,18,0.9
2026-02,T03,Grupo 3 manhã,MANHA,20,18,0.9
2026-02,T04,Grupo 4 tarde,TARDE,20,17,0.85
2026-02,T05,Grupo 5 tarde,TARDE,20,18,0.9
2026-03,T01,Grupo 1 manhã,MANHA,20,18,0.9
2026-03,T02,Grupo 2 manhã,MANHA,20,17,0.85
2026-03,T03,Grupo 3 manhã,MANHA,20,17,0.85
2026-03,T04,Grupo 4 tarde,TARDE,20,17,0.85
2026-03,T05,Grupo 5 tarde,TARDE,20,17,0.85
2026-03,T06,Grupo 6 tarde,TARDE,20,5,0.25
2026-04,T01,Grupo 1 manhã,MANHA,20,18,0.9
2026-04,T02,Grupo 2 manhã,MANHA,20,17,0.85
2026-04,T03,Grupo 3 manhã,MANHA,20,17,0.85
2026-04,T04,Grupo 4 tarde,TARDE,20,17,0.85
2026-04,T05,Grupo 5 tarde,TARDE,20,16,0.8
2026-04,T06,Grupo 6 tarde,TARDE,20,7,0.35
2026-05,T01,Grupo 1 manhã,MANHA,20,18,0.9
2026-05,T02,Grupo 2 manhã,MANHA,20,17,0.85
2026-05,T03,Grupo 3 manhã,MANHA,20,17,0.85
2026-05,T04,Grupo 4 tarde,TARDE,20,17,0.85
2026-05,T05,Grupo 5 tarde,TARDE,20,16,0.8
2026-05,T06,Grupo 6 tarde,TARDE,20,8,0.4
2026-06,T01,Grupo 1 manhã,MANHA,20,18,0.9
2026-06,T02,Grupo 2 manhã,MANHA,20,18,0.9
2026-06,T03,Grupo 3 manhã,MANHA,20,17,0.85
2026-06,T04,Grupo 4 tarde,TARDE,20,17,0.85
2026-06,T05,Grupo 5 tarde,TARDE,20,16,0.8
2026-06,T06,Grupo 6 tarde,TARDE,20,9,0.45
2026-07,T01,Grupo 1 manhã,MANHA,20,18,0.9
2026-07,T02,Grupo 2 manhã,MANHA,20,18,0.9
2026-07,T03,Grupo 3 manhã,MANHA,20,17,0.85
2026-07,T04,Grupo 4 tarde,TARDE,20,17,0.85
2026-07,T05,Grupo 5 tarde,TARDE,20,16,0.8
2026-07,T06,Grupo 6 tarde,TARDE,20,10,0.5
